Gminne Przedszkole Publiczne w Ostroszowicach;Bielawska 58a;Ostroszowice;dolnoslaskie;Kinder;58-262;748300456;False;;False;
Gminne Przedszkole Publiczne w Przewornie;Kolejowa 4D;Przeworno;dolnoslaskie;Kinder;57-130;748102046;False;;False;
Gminne Przedszkole Publiczne z Oddziałami Integracyjnymi;Sikorskiego 34C;Ścinawka Średnia;dolnoslaskie;Kinder;57-410;748715314;False;;False;
Gminne Przedszkole Publiczne z Oddziałami Integracyjnymi w Radkowie;ul. Konstytucji 3-go Maja 1;Radków;dolnoslaskie;Kinder;57-420;748712262;False;;False;
Gminne Przedszkole Samorządowe;Skalników 5a;Czarny Bór;dolnoslaskie;Kinder;58-379;748450579;False;;False;
Gminne Przedszkole w Gromadce;11 Listopada 62;Gromadka;dolnoslaskie;Kinder;59-706;757382035;False;;False;
Gminne Przedszkole w Osiecznicy;Lubańska 53;Osiecznica;dolnoslaskie;Kinder;59-724;757312090;False;;False;
Gminne Przedszkole w Rokitkach;Rokitki 32A;Chojnów;dolnoslaskie;Kinder;59-225;768178824;False;;False;
Gminne Przedszkole w Twardocicach;Pielgrzymka 53;Pielgrzymka;dolnoslaskie;Kinder;59-524;768775082;False;;False;
Gminne Przedszkole w Wądrożu Wielkim;Wądroże Wielkie 168;Wądroże Wielkie;dolnoslaskie;Kinder;59-430;768874318;False;;False;
Happy Kids-Przedszkole Niepubliczne nr 1 w Kamieńcu Wrocłaskim;Cichy Kącik 16;Kamieniec Wrocławski;dolnoslaskie;Kinder;55-002;694112158;False;;False;
Integracyjne Przedszkole Brylancik;Grodziszcze;Grodziszcze;dolnoslaskie;Kinder;58-112;514032541;False;;False;
Integracyjny Punkt Przedszkolny "Romano drom pe fedyr dzipen" w Kamiennej Górze;Wałbrzyska 15;Kamienna Góra;dolnoslaskie;Kinder;58-400;748806860;False;;False;
Integracyjny punkt przedszkolny "w Pałacyku";Wojska Polskiego 12/2;Oleśnica;dolnoslaskie;Kinder;54-600;501189958;False;;False;
Integracyjny Punkt Przedszkolny BINGO;Rezedowa 50;Wrocław;dolnoslaskie;Kinder;54-515;696833466;False;;False;
Integracyjny Punkt Przedszkolny Blue Kangaroo;Ełcka 31;Wrocław;dolnoslaskie;Kinder;51-427;883043777;False;;False;
Integracyjny punkt przedszkolny Puchatkowa Załoga;Jaworowa 39;Wrocław;dolnoslaskie;Kinder;53-122;717905660;False;;False;
Jacek i Agatka;Kleczkowska 2;Wrocław;dolnoslaskie;Kinder;50-227;501981316;False;;False;
Jaskółka Montessori;Jaskółcza 23;Wrocław;dolnoslaskie;Kinder;51-420;790302323;False;;False;
Językowy Plac Zabaw;Mechaniczna 5j/19;Głogów;dolnoslaskie;Kinder;67-200;796071799;False;;False;
Językowy Punkt Przedszkolny Łobuziaki;Fromborska 12;Wrocław;dolnoslaskie;Kinder;54-111;660978470;False;;False;
Katolickie Przedszkole Niepubliczne "Ochronka";Monte Cassino 66;Wrocław;dolnoslaskie;Kinder;51-681;717071501;False;;False;
Katolickie Przedszkole Niepubliczne "Ochronka" nr 2;Zagony 61;Wrocław;dolnoslaskie;Kinder;54-614;513312094;False;;False;
Katolickie Publiczne Przedszkole;Plac Kościelny 2;Polkowice;dolnoslaskie;Kinder;59-100;767422733;False;;False;
Kids Corner Klub Dziecka i Rodzica;Końska 6 6;Wrocław;dolnoslaskie;Kinder;53-010;717271902;False;;False;
Klub dla dzieci Stokrotka;Cedrowa 1;Strzelin;dolnoslaskie;Kinder;57-100;713926711;False;;False;
Klub Malucha "Skrzat" - Przedszkole Niepubliczne;Gen. St. Maczka 2;Chojnów;dolnoslaskie;Kinder;59-225;883388610;False;;False;
Klub Malucha Chatka Puchatka;Armii Krajowej 43;Oleśnica;dolnoslaskie;Kinder;56-400;789355079;False;;False;
Klub Malucha Serduszkowo;Dziwnowska 2;Wrocław;dolnoslaskie;Kinder;54-314;601537040;False;;False;
Klub Maluszka u Puchatka;Jana Henryka Dąbrowskiego 40/U2;Wrocław;dolnoslaskie;Kinder;50-457;720800625;False;;False;
Kraina Marzeń;Ciernie 133;Świebodzice;dolnoslaskie;Kinder;58-160;882072043;False;;False;
Leśne Elfiki;Leśna 51/52;Leśna;dolnoslaskie;Kinder;59-820;723831631;False;;False;
Lokomotywa - Niepubliczny Punkt Przedszkolny nr 1 we Wrocławiu;Barlickiego 1/1b;Wrocław;dolnoslaskie;Kinder;50-324;500331857;False;;False;
Lokomotywa - Niepubliczny Punkt Przedszkolny nr 2 we Wrocławiu;Dmowskiego 17 I;Wrocław;dolnoslaskie;Kinder;50-203;509534421;False;;False;
Mali Odkrywcy Przedszkole;Krotoszyńska 13;Milicz;dolnoslaskie;Kinder;56-300;503691875;False;;False;
Mali Zdobywcy;Bereta 45;Wrocław;dolnoslaskie;Kinder;51-152;604584435;False;;False;
Malinowe Skrzaty;Jarocińska 55;Wrocław;dolnoslaskie;Kinder;51-011;609614199;False;;False;
Małe Przedszkole "Krasnoludki";Gorzanów 64;Gorzanów;dolnoslaskie;Kinder;57-521;748121018;False;;False;
Małe Przedszkole w Golędzinowie;Kopernika 1;Oborniki Śląskie;dolnoslaskie;Kinder;55-120;713878925;True;;False;
Małe Przedszkole w Rękowie;Naslawicka 21;Sobótka;dolnoslaskie;Kinder;55-050;713162691;False;;False;
Małe Przedszkole w Stradomi Wierzchniej;Syców 64;Syców;dolnoslaskie;Kinder;56-500;783948114;False;;False;
Małe Wielkie Skarby;F. Skarbka 3;Wrocław;dolnoslaskie;Kinder;52-413;609732636;False;;False;
Miejskie Integracyjne Przedszkole nr 14 w Jeleniej Górze;Junaków 2A;Jelenia Góra;dolnoslaskie;Kinder;58-560;757551678;False;;False;
Miejskie Perzedszkole nr 3;Rzemieślnicza 10;Legnica;dolnoslaskie;Kinder;59-220;767233360;False;;False;
Miejskie Przedszkole Integracyjne nr 16 "Słoneczko";Marcinkowskiego 10;Świdnica;dolnoslaskie;Kinder;58-105;748526070;False;;False;
Miejskie Przedszkole nr 1;Aleja Rzeczypospolitej 128;Legnica;dolnoslaskie;Kinder;59-220;768540346;False;;False;
Miejskie Przedszkole nr 1 w Oławie;Jarosława Iwaszkiewicza 11;Oława;dolnoslaskie;Kinder;55-200;713138275;False;;False;
Miejskie Przedszkole nr 10;Gwarna 4;Legnica;dolnoslaskie;Kinder;59-220;767233368;False;;False;
Miejskie Przedszkole nr 10 w Jeleniej Górze;Zjednoczenia Narodowego 15;Jelenia Góra;dolnoslaskie;Kinder;58-560;757551631;False;;False;
Miejskie Przedszkole nr 11 "Krasnala Hałabały" w Jeleniej Górze;Chopina 4;Jelenia Góra;dolnoslaskie;Kinder;58-570;757553715;False;;False;
Miejskie Przedszkole nr 11 w Legnicy;Krzemieniecka 1;Legnica;dolnoslaskie;Kinder;59-220;767208202;False;;False;
Miejskie Przedszkole nr 12 w Legnicy;Plutona 13;Legnica;dolnoslaskie;Kinder;59-220;767208323;False;;False;
Miejskie Przedszkole nr 13;Wielkiej Niedźwiedzicy 14 a;Legnica;dolnoslaskie;Kinder;59-220;768546183;False;;False;
Miejskie Przedszkole nr 14 w Legnicy;Kubusia Puchatka 2;Legnica;dolnoslaskie;Kinder;59-220;767213522;False;;False;
Miejskie Przedszkole nr 16;Zwirki i Wigury 32;Legnica;dolnoslaskie;Kinder;59-220;768620814;False;;False;
Miejskie Przedszkole nr 19;Tatrzańska 11;Legnica;dolnoslaskie;Kinder;59-220;767233280;False;;False;
Miejskie Przedszkole nr 19 im. Kubusia Puchatka w jeleniej Górze;Kurpińskiego 2;Jelenia Góra;dolnoslaskie;Kinder;58-506;756472418;False;;False;
Miejskie Przedszkole nr 2;Lipowa 20a;Oława;dolnoslaskie;Kinder;55-200;713132542;False;;False;
Miejskie Przedszkole nr 2;Piłsudskiego 32;Jelenia Góra;dolnoslaskie;Kinder;58-500;756423610;False;;False;
Miejskie Przedszkole nr 2 w legnicy;Reymonta 1;Legnica;dolnoslaskie;Kinder;59-220;768522047;False;;False;
MIEJSKIE Przedszkole nr 27 Okrąglaczek;Tuwima 12;Jelenia Góra;dolnoslaskie;Kinder;58-500;756480466;False;;False;
Miejskie Przedszkole nr 3 "Bajka";Bolesława Chrobrego 30A;Oława;dolnoslaskie;Kinder;55-200;713137429;False;;False;
Miejskie Przedszkole nr 4;Krasickiego 6;Jelenia Góra;dolnoslaskie;Kinder;58-500;756421343;False;;False;
Miejskie Przedszkole nr 4;św. Elżbiety 8;Legnica;dolnoslaskie;Kinder;59-220;767233137;False;;False;
Miejskie Przedszkole nr 4 im. Misia Uszatka;1 Maja 33;Oława;dolnoslaskie;Kinder;55-200;713132379;False;;False;
Miejskie Przedszkole nr 7;Słubicka 1;Legnica;dolnoslaskie;Kinder;59-220;767210143;False;;False;
Miejskie Przedszkole nr 8;Góralska 23/25;Legnica;dolnoslaskie;Kinder;59-220;768545345;False;;False;
Miejskie Przedszkole nr 9;Ciołkowskiego 1;Legnica;dolnoslaskie;Kinder;59-220;767210139;False;;False;
Miejskie Przedszkole Nr13;Mieczysława Karłowicza 13;Jelenia Góra;dolnoslaskie;Kinder;58-506;757526488;False;;False;
Miejskie Przedszkole Nr18 w Legnicy;Staffa 6;Legnica;dolnoslaskie;Kinder;59-220;767228350;False;;False;
Miejskie Przedszkole Publiczne;Kościuszki 26a;Węgliniec;dolnoslaskie;Kinder;59-940;757712034;False;;False;
Miejskie Przedszkole Publiczne nr 1;Jana Pawła II 50D;Bolesławiec;dolnoslaskie;Kinder;59-700;756121301;False;;False;
Miejskie Przedszkole Publiczne nr 2 w Bolesławcu;Mikołaja Brody 17;Bolesławiec;dolnoslaskie;Kinder;59-700;757322865;False;;False;
Miejskie Przedszkole Publiczne nr 3 w Bolesławcu;Ceramiczna 5;Bolesławiec;dolnoslaskie;Kinder;59-700;757348410;False;;False;
Miejskie Przedszkole Publiczne nr 4 w Bolesławcu;Sądowa 9;Bolesławiec;dolnoslaskie;Kinder;59-700;757322576;False;;False;
Miejskie Przedszkole Publiczne nr 5 w Bolesławcu;Zygmunta Augusta 16b;Bolesławiec;dolnoslaskie;Kinder;59-700;757322661;False;;False;
Miejskie Przedszkole Publiczne nr 6 w Bolesławcu;Piotra i Pawła 2;Bolesławiec;dolnoslaskie;Kinder;59-700;757322368;False;;False;
Miejskie Przedszkole Publiczne nr 7 z Oddziałami integracyjnymi w Bolesławcu;Górne Młyny 5;Bolesławiec;dolnoslaskie;Kinder;59-700;757344026;False;;False;
Miejskie Przedszkole Publiczne w Wojcieszowie;Wojcieszów;Wojcieszów;dolnoslaskie;Kinder;59-550;;False;;False;
Miejskie Przedszkole Specjalne nr 5;Tatrzańska 9;Legnica;dolnoslaskie;Kinder;59-220;767233117;False;;False;
Miejskie Przedszkole Specjalne nr 6 dla Dzieci Słabowidzących w Legnicy;Andromedy 14;Legnica;dolnoslaskie;Kinder;59-220;767233379;False;;False;
Miejskie Przedszkole w Prochowicach;Kościuszki 1;Prochowice;dolnoslaskie;Kinder;59-230;768584541;False;;False;
Miejskie Przedszkole w Twardogórze;Grunwaldzka 1;Twardogóra;dolnoslaskie;Kinder;56-416;713158067;False;;False;
Miejsko Gminne Przedszkole w Leśnej;E Orzeszkowej 42;Leśna;dolnoslaskie;Kinder;59-820;757211289;False;;False;
Miejsko-Gminne Przedszkole Publiczne w Świerzawie;Kościuszki 12;Świerzawa;dolnoslaskie;Kinder;59-540;757135311;False;;False;
Misiowa Chatka Tomasz Kuriata;Czereśniowa 5;Sobótka;dolnoslaskie;Kinder;55-050;661704847;False;;False;
Misiowa Kraina;Gwiaździsta 8;Wrocław;dolnoslaskie;Kinder;53-413;609713480;False;;False;
Montessori House;Ludwika Pugeta 3;Wrocław;dolnoslaskie;Kinder;51-628;517337004;False;;False;
Montessori House Wrocław;Rakowiecka 48 E;Wrocław;dolnoslaskie;Kinder;50-422;517337004;False;;False;
Nasze Dzieci;Tęczowa 3A;Wrocław;dolnoslaskie;Kinder;53-601;713723314;False;;False;
Niepubliczna Placówka Przedszkolna "Akademia Przedszkolaka";Sulnierzycka 37;Milicz;dolnoslaskie;Kinder;56-300;713198546;False;;False;
Niepubliczne Anglojęzyczne Przedszkole "Magic Nursey";Kolejowa 22;Polkowice;dolnoslaskie;Kinder;59-100;693333133;False;;False;
Niepubliczne Dwujezyczne Przedszkole Kids&co 1;Szybowcowa 2;Wrocław;dolnoslaskie;Kinder;54-130;537888310;False;;False;
Niepubliczne Dwujęzyczne Przedszkole KIDS&Co 2;Sucha 2;Wrocław;dolnoslaskie;Kinder;50-086;575000296;False;;False;
Niepubliczne Przedszkole;Partyzantów 9;Ząbkowice Śląskie;dolnoslaskie;Kinder;57-200;606131786;False;;False;
Niepubliczne Przedszkole;Zdrojowa 34;Kudowa-Zdrój;dolnoslaskie;Kinder;57-350;505906069;False;;False;
Niepubliczne Przedszkole Przedszkolandia w Poniatowicach;Oleśnica 86;Oleśnica;dolnoslaskie;Kinder;56-400;223797042;False;;False;
Niepubliczne Przedszkole "Bajka";Księdza Popiełuszki 3;Strzelin;dolnoslaskie;Kinder;57-100;713920340;False;;False;
Niepubliczne Przedszkole "Bajka" w Jeleniej Górze;Józefa Piłsudskiego 15;Jelenia Góra;dolnoslaskie;Kinder;58-500;757524911;False;;False;
Niepubliczne Przedszkole "Bajkowo";Osiedlowa 1;Mirków;dolnoslaskie;Kinder;55-095;575101075;False;;False;
Niepubliczne Przedszkole "Bajkowy Ogród";Boguszyce 102a;Oleśnica;dolnoslaskie;Kinder;56-400;723524307;False;;False;
Niepubliczne Przedszkole "BAJLANDIA";Stronie Śląskie 41;Stronie Śląskie;dolnoslaskie;Kinder;57-550;;False;;False;
Niepubliczne Przedszkole "Bąbelkowo" w Lubaniu;Jeleniogórska 2;Lubań;dolnoslaskie;Kinder;59-800;503125305;False;;False;
Niepubliczne Przedszkole "International Playschool";Drukarska 52;Wrocław;dolnoslaskie;Kinder;53-312;535188835;False;;False;
Niepubliczne Przedszkole "Jacek i Agatka";Komuny Paryskiej 1;Bolesławiec;dolnoslaskie;Kinder;59-700;757842940;False;;False;
Niepubliczne Przedszkole "Kredka";Leśna 1;Oława;dolnoslaskie;Kinder;55-200;513021811;False;;False;
Niepubliczne Przedszkole "Król Maciuś";Adama Mickiewicza 15;Jelenia Góra;dolnoslaskie;Kinder;58-500;756421221;False;;False;
Niepubliczne Przedszkole "Mali Odkrwycy" w Wałbrzychu;11 Listopada 62;Wałbrzych;dolnoslaskie;Kinder;58-302;883411906;False;;False;
Niepubliczne Przedszkole "Mali Odkrywcy";Reymonta 16;Zgorzelec;dolnoslaskie;Kinder;59-900;756489738;False;;False;
Niepubliczne Przedszkole "Piątka 5";Adama Mickiewicza 19;Jelenia Góra;dolnoslaskie;Kinder;58-500;757522387;False;;False;
Niepubliczne Przedszkole "Pimpuś Sadełko";Św. Judy Tadeusza 66;Wrocław;dolnoslaskie;Kinder;52-116;608257735;False;;False;
Niepubliczne Przedszkole "POZYTYWKA" z kreatywną salą zabaw;Tuwima 5;Złotoryja;dolnoslaskie;Kinder;59-500;793704994;False;;False;
Niepubliczne Przedszkole "Promyczek" w Jeleniej Górze;Oskara Kolberga 5;Jelenia Góra;dolnoslaskie;Kinder;58-506;757541648;False;;False;
Niepubliczne Przedszkole "Przedszkolaki Spod Trójgarbu";Główna 172A;Stare Bogaczowice;dolnoslaskie;Kinder;58-312;881035714;False;;False;
Niepubliczne Przedszkole "Radosne";Świerkowa 4;Czernica;dolnoslaskie;Kinder;55-003;669367457;False;;False;
Niepubliczne Przedszkole "Romano Drom Pe Fedyr Dzipen";Królewiecka 9;Wałbrzych;dolnoslaskie;Kinder;58-300;748806860;False;;False;
Niepubliczne Przedszkole "SASANKA" w Mrozowie;Bolesława Chrobrego 20;Miękinia;dolnoslaskie;Kinder;55-330;713170795;False;;False;
Niepubliczne Przedszkole "Słoneczko";Wojska Polskiego 34;Miłkowice;dolnoslaskie;Kinder;59-222;;False;;False;
Niepubliczne Przedszkole "Struga";Szkolna 2;Struga;dolnoslaskie;Kinder;58-311;748452239;False;;False;
Niepubliczne Przedszkole "Tęcza" w Zgorzelcu;Boh. II Awp 16;Zgorzelec;dolnoslaskie;Kinder;59-900;756460620;False;;False;
Niepubliczne Przedszkole "U Kubusia Puchatka";Kopernika 6;Oleśnica;dolnoslaskie;Kinder;56-400;717957559;False;;False;
Niepubliczne Przedszkole "Wesoła Kraina";Rzeczna 22;Kiełczów;dolnoslaskie;Kinder;55-093;605666642;False;;False;
Niepubliczne Przedszkole "Wyspa Skarbów";Słowackiego 9c;Zgorzelec;dolnoslaskie;Kinder;59-900;509280480;False;;False;
Niepubliczne Przedszkole "Zabka";Jagiełłły 1;Oborniki Śląskie;dolnoslaskie;Kinder;55-120;;False;;False;
Niepubliczne Przedszkole "Zielona Krzyżowa";Grodziszcze 7;Grodziszcze;dolnoslaskie;Kinder;58-112;748500300;False;;False;
Niepubliczne Przedszkole "Zielony Zakątek";Robotnicza 44;Mirków;dolnoslaskie;Kinder;55-095;791283545;False;;False;
Niepubliczne Przedszkole Adaś;Tadeusza Kościuszki 17;Wołów;dolnoslaskie;Kinder;56-100;713846222;False;;False;
Niepubliczne Przedszkole Akademia Przedszkolaka;Osiedle Gornicze 42;Wałbrzych;dolnoslaskie;Kinder;58-308;605597373;False;;False;
Niepubliczne Przedszkole Artystyczne "Czarodziejski Ogród";Juliusza Słowackiego 5;Oleśnica;dolnoslaskie;Kinder;56-400;723524307;False;;False;
Niepubliczne Przedszkole Bajka;Gdańska 37A;Bolesławiec;dolnoslaskie;Kinder;59-700;756103060;False;;False;
Niepubliczne Przedszkole Bajkochatka;Jasia i Małgosi 2;Kamieniec Wrocławski;dolnoslaskie;Kinder;55-002;790690292;False;;False;
Niepubliczne Przedszkole Bajkowy;3 Maja 47/ I;Oleśnica;dolnoslaskie;Kinder;56-400;530121250;False;;False;
Niepubliczne Przedszkole Bajkowy Domek SP z o. o;Głowackiego 14;Świdnica;dolnoslaskie;Kinder;58-100;791206262;False;;False;
Niepubliczne Przedszkole Bielanek;Magnoliowa 13-15;Kobierzyce;dolnoslaskie;Kinder;55-040;512374797;False;;False;
Niepubliczne Przedszkole Bim Bam Bom;Krynicka 27-29;Wrocław;dolnoslaskie;Kinder;50-555;609338612;False;;False;
Niepubliczne Przedszkole Bim Bam Bom 2;Stoczniowa 12a;Wrocław;dolnoslaskie;Kinder;51-215;609338612;False;;False;
Niepubliczne Przedszkole Calineczka i Przyjaciele;Świerkowa 6;Kamieniec Wrocławski;dolnoslaskie;Kinder;55-002;603634567;False;;False;
Niepubliczne Przedszkole Chatka Puchatka;Kotla 17;Kotla;dolnoslaskie;Kinder;67-240;;False;;False;
Niepubliczne Przedszkole Chatka Puchatka;Radomierzyce 7;Zgorzelec;dolnoslaskie;Kinder;59-900;881222266;False;;False;
Niepubliczne Przedszkole DOMINO;Karmelkowa 8a;Wrocław;dolnoslaskie;Kinder;52-436;505244052;False;;False;
Niepubliczne Przedszkole Dzieci Swiata;Jasna 1/2;Wysoka;dolnoslaskie;Kinder;52-200;533307833;False;;False;
Niepubliczne Przedszkole Edukacyjne "Planeta Uśmiechu" w Lubaniu;Jeleniogórska 2;Lubań;dolnoslaskie;Kinder;59-800;503125305;False;;False;
Niepubliczne Przedszkole Ekologiczne "Eko-Przedszkolak";Świętego Jana 5;Strzelin;dolnoslaskie;Kinder;57-100;;False;;False;
Niepubliczne Przedszkole Ence Pence;Kadetów 13;Jelenia Góra;dolnoslaskie;Kinder;58-500;509495610;False;;False;
Niepubliczne Przedszkole Enedue;Broniewskiego 1;Oława;dolnoslaskie;Kinder;55-200;604134816;False;;False;
Niepubliczne Przedszkole Frajda;Galla Anonima 3;Świdnica;dolnoslaskie;Kinder;58-100;605357090;False;;False;
Niepubliczne Przedszkole Fundacji Pomocy Biednym Dzieciom "Ut Unum Sint";Adama Mickiewicza 9;Świdnica;dolnoslaskie;Kinder;58-100;748533327;False;;False;
Niepubliczne Przedszkole im. Cz. Janczarskiego;Kasprowicza 42-44;Wrocław;dolnoslaskie;Kinder;51-137;713251637;False;;False;
Niepubliczne Przedszkole Integracyjne BALONIK;Mała 1 E,F;Szklarska Poręba;dolnoslaskie;Kinder;58-580;503050601;False;;False;
Niepubliczne Przedszkole Integracyjne Blue Kangaroo;Gęsia 24;Wrocław;dolnoslaskie;Kinder;51-419;690999573;False;;False;
Niepubliczne Przedszkole Integracyjne MALI ODKRYWCY w Bolesławcu;Polna 25;Bolesławiec;dolnoslaskie;Kinder;59-700;793650051;False;;False;
Niepubliczne Przedszkole Językowe "Chatka Małolatka II";Uczniowska 16;Wałbrzych;dolnoslaskie;Kinder;58-306;793390854;False;;False;
Niepubliczne Przedszkole Językowe "Mały Odkrywca";Adama Asnyka 7;Strzelin;dolnoslaskie;Kinder;57-100;600692600;False;;False;
Niepubliczne Przedszkole Językowe "Michałek";Obrońców Westerplatte 39;Wałbrzych;dolnoslaskie;Kinder;58-309;699955123;False;;False;
Niepubliczne Przedszkole Językowe "Michałek";Staszica 20;Złotoryja;dolnoslaskie;Kinder;59-500;768663635;False;;False;
Niepubliczne Przedszkole Językowe "Michałek" w Strzelinie;Św. Jana 10;Strzelin;dolnoslaskie;Kinder;57-100;609464141;False;;False;
Niepubliczne Przedszkole Językowe Abracadabra;Podchorązych, Jagiell. Kilińsk. 4,5/23,35a;Świdnica;dolnoslaskie;Kinder;58-100;517356147;False;;False;
Niepubliczne Przedszkole Językowe Calineczka;Siostrzana 15-17;Świdnica;dolnoslaskie;Kinder;58-100;601361177;False;;False;
Niepubliczne Przedszkole Językowe Chatka Puchatka;Królowej Elżbiety 1;Świebodzice;dolnoslaskie;Kinder;58-160;601361177;False;;False;
Niepubliczne Przedszkole Językowe FSA;ul. Metalowców 27 54-156;Wrocław;dolnoslaskie;Kinder;54-156;513680680;False;;False;
Niepubliczne Przedszkole Językowe Gaduła;Nowowiejska 2;Oborniki Śląskie;dolnoslaskie;Kinder;55-120;713103114;False;;False;
Niepubliczne Przedszkole Językowo-Sportowe "LUPPO-PUPPO";Antoniego Słonimskiego 1A;Wrocław;dolnoslaskie;Kinder;50-304;733002405;False;;False;
Niepubliczne Przedszkole Kacperek;Różyckiego 2;Jelenia Góra;dolnoslaskie;Kinder;58-506;757525197;False;;False;
Niepubliczne Przedszkole Katolickie "Aniołek";Św. Floriana 2;Strzelin;dolnoslaskie;Kinder;57-100;;False;;False;
Niepubliczne Przedszkole Kredka;Łukasińskiego 4;Legnica;dolnoslaskie;Kinder;59-220;768549045;False;;False;
Niepubliczne Przedszkole Lawendowe Skrzaty;Chrzanowskiego 30;Wrocław;dolnoslaskie;Kinder;51-141;601922313;False;;False;
Niepubliczne Przedszkole Lupikowo;Krzycka 42;Wrocław;dolnoslaskie;Kinder;53-020;662047160;False;;False;
